role,age,mainGroup,code,medianPay,percent10,percent20,percent25,percent30,percent40,percent60,percent70,percent75,percent80,percent90
Other managers and proprietors,60+,,12,14.98,x,9.10,10.45,11.75,12.64,17.38,18.75,20.06,x,x
Professional occupations,60+,TRUE,2,18.63,11.71,14.10,15.00,15.92,17.66,20.88,22.27,23.80,25.04,x
"Science, research, engineering and technology professionals",60+,,21,19.63,x,x,15.21,16.01,17.65,21.28,x,x,x,x
Health professionals,60+,,22,17.83,12.12,14.06,14.72,15.18,16.22,18.35,19.35,21.14,21.24,x
Teaching and educational professionals,60+,,23,22.44,13.01,16.53,17.68,18.42,20.85,24.36,27.07,28.15,29.82,x
"Business, media and public service professionals",60+,,24,17.81,10.18,11.92,12.22,13.43,16.43,19.08,21.09,21.82,24.35,x
Associate professional and technical occupations,60+,TRUE,3,13.86,9.31,10.38,11.01,11.44,12.82,14.91,16.26,16.96,17.95,x
"Science, engineering and technology associate professionals",60+,,31,11.28,x,x,x,9.94,10.46,13.02,x,x,x,x
Health and social care associate professionals,60+,,32,13.44,x,11.09,11.43,11.93,12.93,14.48,15.60,x,x,x
Protective service occupations,60+,,33,13.33,x,x,x,x,x,x,x,x,x,x
"Culture, media and sports occupations",60+,,34,11.85,x,x,x,x,x,x,x,x,x,x
Business and public service associate professionals,60+,,35,14.29,9.15,10.43,11.36,11.72,13.13,15.84,16.89,17.39,18.34,x
Administrative and secretarial occupations,60+,TRUE,4,11.21,8.38,9.19,9.34,9.80,10.40,11.99,13.11,13.78,14.37,17.51
Administrative occupations,60+,,41,11.23,8.43,9.19,9.65,9.96,10.48,11.98,13.06,13.75,14.36,17.06
Secretarial and related occupations,60+,,42,11.05,8.13,9.01,9.19,9.36,10.21,11.98,13.23,13.88,14.80,x
Skilled trades occupations,60+,TRUE,5,9.49,x,8.23,8.34,8.64,9.05,9.85,10.65,11.38,x,x
Skilled agricultural and related trades,60+,,51,,,,,,,,,,,
"Skilled metal, electrical and electronic trades",60+,,52,10.06,x,x,x,x,x,x,x,x,x,x
Skilled construction and building trades,60+,,53,,,,,,,,,,,
"Textiles, printing and other skilled trades",60+,,54,9.25,x,8.16,8.33,8.51,8.92,9.67,10.11,x,x,x
"Caring, leisure and other service occupations",60+,TRUE,6,9.50,7.67,8.05,8.30,8.53,9.05,10.22,11.14,11.56,11.96,13.55
Caring personal service occupations,60+,,61,9.56,7.60,8.12,8.36,8.63,9.11,10.35,11.25,11.61,11.96,x
"Leisure, travel and related personal service occupations",60+,,62,9.06,x,7.95,8.02,8.19,8.48,9.57,10.46,x,x,x
Sales and customer service occupations,60+,TRUE,7,8.86,7.55,7.81,7.96,8.12,8.49,9.43,10.04,10.62,11.22,x
Sales occupations,60+,,71,8.46,7.50,7.69,7.80,7.88,8.12,8.72,9.37,9.59,9.82,x
Customer service occupations,60+,,72,10.54,x,8.48,8.69,9.12,9.61,11.29,12.53,12.77,x,x
"Process, plant and machine operatives",60+,TRUE,8,8.45,7.50,7.62,7.84,8.03,8.14,8.80,9.43,x,x,x
"Process, plant and machine operatives",60+,,81,8.17,7.50,7.58,7.76,7.91,8.13,8.48,8.93,x,x,x
Transport and mobile machine drivers and operatives,60+,,82,x,x,x,x,x,x,x,x,x,x,x
Elementary occupations,60+,TRUE,9,8.44,7.50,7.60,7.68,7.81,8.00,8.92,9.81,10.13,10.59,x
Elementary trades and related occupations,60+,,91,8.00,x,7.51,7.63,7.67,7.86,8.58,8.92,x,x,x
Elementary administration and service occupations,60+,,92,8.49,7.50,7.60,7.71,7.82,8.09,9.03,9.84,10.09,10.43,x
